title,description,category,priority,resolution
VPN connection failing with error 806,My VPN keeps crashing. I'm trying to connect from home and I keep getting error 806. I've restarted my laptop twice and verified my credentials are correct.,Network,Medium,Updated firewall policy to allow GRE protocol traffic for the remote user's IP.
SAML SSO error on Chrome,"Hey, I'm running into an ""Error 403: app_not_configured_for_user"" when trying to launch Salesforce through Okta. I'm on Chrome v118 and Windows 11, and it seems like everyone else on the team is getting in fine. Any idea what's up?",Access Management,High,Assigned the user to the Salesforce application integration in Okta Admin Console.
MFA prompt loop on mobile device,"Every time I try to sign into O365 on my iPhone, the Microsoft Authenticator app just spins and eventually says 'Request timed out'. I’ve tried reinstalling the app and updating iOS to 17.4. It's really frustrating, please help.",Access Management,High,Removed user's old MFA device registration from Azure AD and prompted user to re-register their device.
BitLocker recovery screen on boot,My laptop (Dell Latitude 5420) is stuck on a blue BitLocker recovery screen immediately after the BIOS post. It’s asking for a 48-digit recovery key that I don't have. I need to get back into my machine ASAP.,Security,High,Retrieved recovery key from Azure AD portal and successfully unlocked the drive. Performed a 'manage-bde -protectors -adbackup' to ensure future recovery keys are synced.
Database connection timeout,"The internal BI dashboard is throwing a 'Connection Timeout' error after 30 seconds of loading. It seems like a backend issue, but I wanted to report it before I get a ticket from the users.",Application,High,Increased the SQL query timeout threshold on the application server connection string.
VPN connection failing with Error 807,"I can't connect to the office network from my home office. I keep getting Error 807. I've tried restarting my router and my laptop running Windows 11, but no luck.",Security,Low,Identified an expired security certificate on the VPN gateway. Renewed the SSL certificate and re-provisioned the tunnel configuration.
Can't access mapped network drives,"Hey, I'm getting an error message when I try to open the 'Z:' drive. It says 'The network path was not found.' I've tried restarting my laptop, but no luck.",Network,Medium,Mapped the network drive using the server FQDN instead of the IP address to resolve DNS lookup issues.
Access to Shared Mailbox,I need full access permissions to the 'Support-Tier-1' shared mailbox. I am not seeing it pop up in my Outlook 365 client despite being added to the distribution list last week.,Access Management,Low,Added the user to the 'Full Access' list in the Exchange Admin Center and confirmed automapping is enabled.
WAP in Lobby is down,"The Cisco Aironet access point in the main lobby stopped broadcasting the SSID. It's not showing any lights, even though it's connected to a PoE+ switch port. We need this fixed for the guests.",Infrastructure,Medium,Verified switch port was shut down due to a power budget conflict; reconfigured PoE priority settings.
New hire onboarding access,"We have a new engineer starting on Monday. Please provision access for AD, GitHub Enterprise, and the internal Wiki for the user j.doe.",Access Management,Medium,"Created user account, added to relevant security groups, and sent provisioning email."
Unable to export report in Chrome,The export to Excel button in our web portal just stopped working. Nothing happens when I click it. Please fix it ASAP.,Application,Medium,Resolved a conflict caused by a recent browser extension update; advised user to disable the specific 'PDF Converter' extension.
Slow query performance on reporting dashboard,"Hey, the dashboard is dragging. Specifically, the sales report takes like 30 seconds to load now. Can you take a look?",Database,Medium,"Added a missing composite index on the 'transaction_date' and 'merchant_id' columns, reducing query execution time from 28s to 450ms."
Charset mismatch on new entries,We are seeing weird characters in our database for non-English names. It looks like the database is using Latin1 but we are inserting UTF-8 data. We need to fix this character encoding issue ASAP.,Database,Medium,Altered the database character set and collation to utf8mb4 and performed an encoding conversion on the existing table data.
SQL Server connection timeout on App-Prod-01,"We are experiencing intermittent connection timeouts when the web application attempts to query the primary SQL Server 2019 instance on App-Prod-01. The logs show error code 0x80004005, and it seems to happen primarily during peak traffic hours between 2 PM and 4 PM. We need an investigation into the connection pool settings.",Database,High,Increased the Max Pool Size in the application connection string and optimized three long-running stored procedures that were causing lock contention.
